"filename", "language", "JSON", "JSON with Comments", "TypeScript", "JavaScript", "Properties", "XML", "comment", "blank", "total"
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-back\.env", "Properties", 0, 0, 0, 0, 10, 0, 0, 3, 13
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-back\maps.geojson", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-back\nodemon.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-back\package-lock.json", "JSON", 3215, 0, 0, 0, 0, 0, 0, 1, 3216
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-back\package.json", "JSON", 45, 0, 0, 0, 0, 0, 0, 1, 46
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-back\public\img\1746893382562-226864205.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-back\public\img\1746893391554-647083210.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-back\public\img\categories\bakery.svg", "XML", 0, 0, 0, 0, 0, 1633, 1, 1, 1635
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-back\public\img\categories\breakfast.svg", "XML", 0, 0, 0, 0, 0, 1779, 1, 51, 1831
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-back\public\img\categories\desserts.svg", "XML", 0, 0, 0, 0, 0, 2766, 1, 9, 2776
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-back\public\img\categories\drinks.svg", "XML", 0, 0, 0, 0, 0, 1228, 1, 2, 1231
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-back\public\img\categories\grill.svg", "XML", 0, 0, 0, 0, 0, 717, 1, 3, 721
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-back\public\img\categories\main courses.svg", "XML", 0, 0, 0, 0, 0, 4667, 1, 1, 4669
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-back\public\img\categories\seafood.svg", "XML", 0, 0, 0, 0, 0, 1352, 1, 1, 1354
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-back\public\img\categories\side dishes.svg", "XML", 0, 0, 0, 0, 0, 3929, 1, 1, 3931
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-back\public\img\categories\snacks.svg", "XML", 0, 0, 0, 0, 0, 1750, 1, 18, 1769
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-back\src\controllers\auth.controller.ts", "TypeScript", 0, 0, 103, 0, 0, 0, 0, 20, 123
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-back\src\controllers\category.controller.ts", "TypeScript", 0, 0, 115, 0, 0, 0, 0, 31, 146
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-back\src\controllers\extras.controller.ts", "TypeScript", 0, 0, 67, 0, 0, 0, 0, 13, 80
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-back\src\controllers\profile.controller.ts", "TypeScript", 0, 0, 225, 0, 0, 0, 0, 49, 274
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-back\src\controllers\user-category.controller.ts", "TypeScript", 0, 0, 79, 0, 0, 0, 0, 16, 95
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-back\src\db.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 5, 21
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-back\src\dtos\user.dto.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 2, 32
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-back\src\index.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 16, 9, 60
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-back\src\middleware\auth.middleware.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 0, 9, 37
